Generic name,Dose,Safe dose,Geriatric dose,Class,Most common use,Mechanism of action,Adverse reactions,Contraindications,Nursing implications,Patient teaching
doxycycline,,"Oral: IR and most ER formulations: 100 to 200 mg/day in 1 to 2 divided doses. Note: 120 mg of modified polymer coated tablet (Doryx MPC) is equivalent to 100 mg conventional delayed-release tablet.

IV: 100 mg every 12 hours. Note: IV form may cause phlebitis.
",,"Antibiotic, Tetracycline Derivative","acne, actinomycosis, acute instesinal amebiasis, anthrax, cholera, chlostridium, gram negative infections, gram positivei nfections, listeriosis, malaria prophylaxis, mycoplasma pneumoniiae, opthalmic infections, pepriodontitis, relapsing fever, respiratory tract infectinos, rickettsial infections, rosacea, STIs","Inhibits protein synthesis by binding with the 30S and possibly the 50S ribosomal subunit(s) of susceptible bacteria; may also cause alterations in the cytoplasmic membrane

20 mg tablets and capsules (Periostat [Canadian product]): Proposed mechanism: Has been shown to inhibit collagenase activity in vitro. Also has been noted to reduce elevated collagenase activity in the gingival crevicular fluid of patients with periodontal disease. Systemic levels do not reach inhibitory concentrations against bacteria.","Bone growth suppression: Dose-related; tetracycline binds to calcium in growing bones and negatively affects calcium orthophosphate metabolism (Ref); doxycycline appears to bind to calcium less than tetracycline (Re

​Esophageal injury
​Photosensitivity

​Skin hyperpigmentation/dental discoloration: Doxycycline may mineralize tissue as it binds to calcium/iron to form a tetracycline-calcium orthophosphate complex and/or activate melanocytes in the upper dermis (Re","Hypersensitivity to doxycycline, other tetracyclines, or any component of the formulation.

Doxytab [Canadian product]: Additional contraindications: Myasthenia gravis; concurrent use with isotretinoin.

Periostat, Apprilon [Canadian products]: Additional contraindications: Use in infants and children <8 years of age or during second or third trimester of pregnancy; breast-feedin",,
ezetimibe,,10 mg once daily.,,"Antilipemic Agent, 2-Azetidinone","Homozygous familial hypercholesterolemia: In combination with a high-intensity statin (eg, atorvastatin) for the reduction of elevated total cholesterol (total-C) and low-density lipoprotein cholesterol (LDL-C) levels in patients with homozygous familial hypercholesterolemia as an adjunct to other lipid-lowering treatments (eg, LDL apheresis) or if such treatments are unavailable.

Homozygous sitosterolemia: As adjunctive therapy to diet for the reduction of elevated sitosterol and campesterol levels in patients with homozygous familial sitosterolemia.

Primary hyperlipidemia: As adjunctive therapy to diet and an HMG-CoA reductase inhibitor or as monotherapy if an HMG-CoA reductase inhibitor is not tolerated for the reduction of total-C, LDL-C, apolipoprotein B, and nonhigh-density lipoprotein cholesterol in patients with primary (heterozygous familial and nonfamilial) hyperlipidemia or mixed hyperlipidemia.","Inhibits absorption of cholesterol at the brush border of the small intestine via the sterol transporter, Niemann-Pick C1-Like1 (NPC1L1). This leads to a decreased delivery of cholesterol to the liver, reduction of hepatic cholesterol stores and an increased clearance of cholesterol from the blood; decreases total C, LDL-cholesterol (LDL-C), ApoB, and triglycerides (TG) while increasing HDL-cholesterol (HDL-C).","Central nervous system: Fatigue (2%)

Gastrointestinal: Diarrhea (4%)

Hepatic: Increased serum transaminases (with HMG-CoA reductase inhibitors; ≥3 x ULN: 1%)

Infection: Influenza (2%)

Neuromuscular & skeletal: Arthralgia (3%), limb pain (3%)

Respiratory: Upper respiratory tract infection (4%), sinusitis (3%)",Hypersensitivity to ezetimibe or any component of the formulation; concomitant use with an HMG-CoA reductase inhibitor (statin) in patients with active hepatic disease or unexplained persistent elevations in serum transaminases; pregnancy and breastfeeding (when used concomitantly with a statin),,
ferrous gluconate,,"Iron-deficiency anemia, treatment: Oral: 65 to 200 mg elemental iron/day (Liu 2012; Stoltzfus 1998; WHO 2001); may administer in up to 3 divided doses. Note: Alternate-day dosing (eg, every other day or Monday, Wednesday, Friday) has been shown to result in greater absorption of iron (Stoffel 2017).",,Iron Preparations,Iron-deficiency anemia: Prevention and treatment of iron-deficiency anemias,"Replaces iron found in hemoglobin, myoglobin, and enzymes; allows the transportation of oxygen via hemoglobin","Gastrointestinal: Constipation, darkening of stools, nausea, stomach cramps, vomiting","Hypersensitivity to iron salts or any component of the formulation; hemochromatosis, hemolytic anemia",,
fluticasone inh (Flovent HFA),,"Fluticasone propionate (50 mcg/spray): Intranasal: Initial: 2 sprays in each nostril once daily or 1 spray in each nostril twice daily, scheduled or as needed; if symptoms are controlled after 1 week, consider reducing to 1 spray in each nostril once daily, scheduled or as needed (maximum dose: 2 sprays per nostril per day).",,"Corticosteroid, Nasal

","Allergic rhinitis: Management of seasonal and perennial allergic rhinitis in adults and children ≥2 years of age.

Chronic rhinosinusitis with nasal polyps: Treatment of chronic rhinosinusitis with nasal polyps in patients ≥18 years of age. May be used off label for chronic rhinosinusitis without nasal polyps (Fokkens 2020).

Nonallergic rhinitis: Management of the nasal symptoms of perennial nonallergic rhinitis in adults and pediatric patients ≥4 years of age.

",Fluticasone belongs to a group of corticosteroids which utilizes a fluorocarbothioate ester linkage at the 17 carbon position; extremely potent vasoconstrictive and anti-inflammatory activity, Central nervous system: Headache (4% to 16%),"Hypersensitivity to fluticasone or any component of the formulation

OTC labeling: When used for self-medication, do not use in children <4 years of age (Clarispray, Flonase Allergy Relief, Good Sense Nasoflow) or children <2 years of age (Flonase Sensimist), for the treatment of asthma, or with current injury or surgery to nose that is not fully healed.

Canadian labeling: Additional contraindications (not in US labeling): Flonase: Untreated fungal, bacterial, or tuberculosis infections of the respiratory tract","Instruct patient on proper administration. Educate patient regarding risk for developing nasal ulcerations, epistaxis, or discomfort.",
Folic Acid,1mg,PO: 1-5mg,,water soluble vitamin,Megaloblastic and macrocytic anemia due to folate deficiency,folic acid is necessary for the formation of coenzymes in metabolic systems (purines and pyrmidines) required to maintain erhthropoiesis and stimulates WBC and platelet production,"Flushing, malaise, hypersensitivity",hypersensitivity to folic acid,,
furosemide tab (Lasix),40mg,20-40mg,,antihpyertensive / loop diuretic ,edema / HTN,inhibits reabosrotion of sodium and chloride in loop causing water loss,"Acute kidney injury, fluid electrolyte loss, hypersenstivity reactions, otototxicity ",,"Check kidney labs before giving and continue to monitor kidney function, monitor for hypovolemia and electrolyte disturbances, monitor for allergic reactions S&S, monitor for deafness / tinnitus ",
gabapentin (sanis),,"Immediate release: Oral: Initial: 300 mg 3 times daily; increase dose based on response and tolerability. Usual dosage: 300 to 600 mg 3 times daily; doses up to 2.4 g/day and 3.6 g/day have been tolerated in long-term and short-term clinical studies, respectively. Some experts recommend a lower starting dose (eg, 100 mg 3 times daily) with titration as tolerated (Schachter 2018)",,"Anticonvulsant, Miscellaneous; GABA Analog","Postherpetic neuralgia: Management of postherpetic neuralgia (PHN) in adults.

Seizures, focal (partial) onset (immediate release only): As adjunctive therapy in the treatment of focal (partial) seizures with and without secondary generalization in adults and pediatric patients 3 years of age and older with epilepsy.","Gabapentin is structurally related to GABA. However, it does not bind to GABAA or GABAB receptors, and it does not appear to influence degradation or uptake of GABA. High affinity gabapentin binding sites have been located throughout the brain; these sites correspond to the presence of voltage-gated calcium channels specifically possessing the alpha-2-delta-1 subunit. This channel appears to be located presynaptically, and may modulate the release of excitatory neurotransmitters which participate in epileptogenesis and nociception. These effects on restless leg syndrome are unknown.","CNS and respiratory depression
​Hypersensitivity reactions (immediate)
​Hypersensitivity reactions (delayed)
​Neuropsychiatric effects
​Suicidal ideation and tendencies",Hypersensitivity to gabapentin or any component of the formulation,,
Haloperidol tab,1mg,2-10mg,,first generation typical antipsychotic,"behavioural disorders, hyperactivity, schizophrenia, tourette syndrome",Haloperidol is a butyrophenone antipsychotic that nonselectively blocks postsynaptic dopaminergic D2 receptors in the brain,"EPS, hematologic abnormalities, hyperprolactinemia, metabolic syndrome, mortaility in older adults, neuroletpic malginant syndrome, QTc prolongation, seizures, sexual dysfunction, temperature dysregulation","Parkinsons, severe CNS depresison, coma, dementia with Lewy bodies","Check ordered labs and report abnormalities. Check vitals, height, and weight as ordered. Monitor for depression or suicidal ideation. Educate patient to report signs of depression, changes in movement, vision changes, changes in menstruation, or changes in sexual function.
",
Hydromorphone,,"Oral: Immediate release: Initial: 2 to 4 mg every 4 to 6 hours as needed (tablets) or 2.5 to 10 mg every 3 to 6 hours as needed (oral solution). Start at the lower end of dosing range for opioid-naive patients; for acute pain use a low dose for ≤3 to 7 days (CDC [Dowell 2016]). Opioid-tolerant patients may require higher initial doses.

Conversion from other opioids to hydromorphone oral immediate release: Initial: 1 to 2 mg every 4 to 6 hours as needed (tablets) or 1.25 to 5 mg every 3 to 6 hours as needed (oral solution).

IV: Initial: Opioid naive: 0.2 to 1 mg every 2 to 3 hours as needed. Start at the lower end of dosing range for opioid-naive patients; patients with prior opioid exposure may require higher initial doses. Hydromorphone HP should NOT be used in opioid-naive patients.

Critically ill patients (off-label):

Intermittent dosing: Loading dose: 0.5 to 2 mg; maintenance dose: 0.2 to 0.6 mg every 1 to 2 hours as needed or 0.5 mg every 3 hours as needed (SCCM [Barr 2013, Devlin 2018]; Tietze 2019).

Continuous infusion: Usual dosage range: 0.5 to 3 mg/hour (SCCM [Barr 2013, Devlin 2018]; Tietze 2019)

IM, SubQ (intermittent dosing): Note: IM administration is not recommended and should be avoided; IM administration is painful and may result in variable absorption, a lag time to peak effect, a rapid fall of action compared to oral administration, and may lead to nerve injury. Equianalgesic doses: Morphine 10 mg SubQ = hydromorphone 1.5 mg SubQ. SubQ is a more reliable and less painful alternative route of administration compared to IM (American Pain Society 2016).

US labeling: Initial: 1 to 2 mg every 2 to 3 hours as needed; lower initial doses may be used in opioid-naive patients. Patients with prior opioid exposure may require higher initial doses. Hydromorphone HP should NOT be used in opioid-naive patients.

Canadian labeling: Opioid naive: 2 mg every 4 to 6 hours as needed; for severe pain, may administer 3 to 4 mg every 4 to 6 hours as needed. Hydromorphone HP or Hydromorphone HP Forte should NOT be used in opioid-naive patients.",,"Analgesic, Opioid","Pain management:

Immediate release:

Tablet, oral solution, injection, suppository: Management of pain severe enough to require an opioid analgesic and for which alternate treatments are inadequate.

HP injection: Management of pain severe enough to require an opioid analgesic in opioid-tolerant patients who require higher doses of opioids and for which alternate treatments are inadequate.

Extended release: Management of pain in opioid-tolerant patients severe enough to require daily, around-the-clock, long-term opioid treatment and for which alternative treatment options are inadequate.

Limitations of use: Reserve for use in patients for whom alternative treatment options (eg, nonopioid analgesics, opioid combination products) are ineffective, not tolerated, or would be otherwise inadequate to provide sufficient management of pain. Hydromorphone ER is not indicated as an as-needed analgesic.","Binds to opioid receptors in the CNS, causing inhibition of ascending pain pathways, altering the perception of and response to pain; causes cough suppression by direct central action in the medulla; produces generalized CNS depression","Cardiovascular: Bradycardia, extrasystoles, flushing (facial), hypertension, hypotension, palpitations, peripheral edema, peripheral vasodilation, syncope, tachycardia

Central nervous system: Abnormal dreams, abnormal gait, abnormality in thinking, aggressive behavior, agitation, apprehension, ataxia, brain disease, burning sensation of skin (Exalgo), central nervous system depression, chills, cognitive dysfunction, confusion, decreased body temperature (Exalgo), depression, disruption of body temperature regulation (Exalgo), dizziness, drowsiness, drug dependence, dysarthria, dysphoria, equilibrium disturbance, euphoria, fatigue, hallucination, headache, hyperesthesia, hyperreflexia, hypoesthesia, hypothermia, increased intracranial pressure, insomnia, lack of concentration, lethargy, malaise, memory impairment, mood changes, myoclonus, nervousness, painful defecation, panic attack, paranoia, paresthesia, psychomotor agitation, restlessness, sedation, sleep disorder (Exalgo), suicidal ideation, uncontrolled crying, vertigo

Dermatologic: Diaphoresis, erythema (Exalgo), hyperhidrosis, pruritus, skin rash, urticaria

Endocrine & metabolic: Antidiuretic effect, decreased amylase, decreased libido, decreased plasma testosterone, dehydration, fluid retention, hyperuricemia, hypokalemia, weight loss

Gastrointestinal: Abdominal distention, anal fissure, anorexia, bezoar formation (Exalgo), biliary tract spasm, constipation, decreased appetite, decreased gastrointestinal motility (Exalgo), delayed gastric emptying, diarrhea, diverticulitis, diverticulosis, duodenitis, dysgeusia, dysphagia, eructation, flatulence, gastroenteritis, gastroesophageal reflux disease (aggravated; Exalgo), hematochezia, increased appetite, intestinal obstruction, intestinal perforation (large intestine; Exalgo), nausea, stomach cramps, vomiting, xerostomia

Genitourinary: Bladder spasm, decreased urine output, difficulty in micturition, dysuria, erectile dysfunction, hypogonadism, sexual disorder, ureteral spasm, urinary frequency, urinary hesitancy, urinary retention

Hematologic & oncologic: Oxygen desaturation

Hepatic: Increased liver enzymes

Hypersensitivity: Histamine release

Local: Pain at injection site, post-injection flare

Neuromuscular & skeletal: Arthralgia, dyskinesia, laryngospasm, muscle rigidity, muscle spasm, myalgia, tremor, weakness

Ophthalmic: Blurred vision, diplopia, dry eye syndrome, miosis, nystagmus

Otic: Tinnitus

Respiratory: Apnea, bronchospasm, dyspnea, flu-like symptoms (Exalgo), hyperventilation, hypoxia, respiratory depression, respiratory distress, rhinorrhea","Canadian labeling: Hypersensitivity to hydromorphone or any component of the formulation.

Dilaudid, Hydromorph Contin, Jurnista: Known or suspected mechanical GI obstruction (eg, bowel obstruction or strictures) or any disease that affects bowel transit (eg, ileus of any type); suspected surgical abdomen (eg, acute appendicitis or pancreatitis); mild, intermittent, or short-duration pain that can be managed with other pain medications; acute respiratory depression, hypercarbia and cor pulmonale; acute alcoholism, delirium tremens, and convulsive disorders; severe CNS depression, increased cerebrospinal or intracranial pressure, and head injury; coadministration with monoamine oxidase inhibitors (concomitant use or within 14 days); women during pregnancy, labor and delivery, or breastfeeding.
","Monitor for effectiveness of pain relief. Monitor blood pressure, sedation, adverse respiratory effects, and GI side effects including constipation. For inpatients, implement safety measures (side rails up, call light within reach, instructions to call for assistance). For ambulatory patients, discuss ways to prevent falls within the home. Assess patient's physical and/or psychological dependence. Monitor for side effects of nausea/vomiting, muscle aches/cramps, rhinorrhea, pupillary dilation, diaphoresis, mild fever, insomnia, and irritability. Educate patients who drive or operate machinery about precautions and adverse effects of sedation on safety. Educate about keeping medication in a safe, secured place to prevent accidental or illicit ingestion.",
hydroxychloroquine,200mg,max 400mg,,aminoquinoline,"lupus erthematosus, malaria","interferes with digestive vacuole funciton of malarial paraistes by incresaing pH and interferring withi lysosomal degradation of Hgb, inhibits locomoiton of neutrophils and chemotaxis of eosinopihls, impairs complement dependent antige-antibody reactions","cardiomyopathy, G6PD deficiency, hypersensivity reaction, hypoglycemia, neuromuscular effects, neuropsychiatric effets, QT prolongation, retinal toxicity",preexisting retinopathy,"check ordered labs, opthalmic exams are important teach this, monotor for neuromuscular and occular changes",
Ibuprofen,,"Oral: 400 to 800 mg every 6 to 8 hours; maximum dose: 3.2 g/day. Some experts generally recommend a maximum dose of 2.4 g/day for chronic use, except during a disease flare when up to 3.2 g/day may be considered for several weeks until flare resolves (Gladman 2020).",,"Analgesic, Nonopioid; Nonsteroidal Anti-inflammatory Drug (NSAID), Oral; Nonsteroidal Anti-inflammatory Drug (NSAID), Parenteral","Oral: Management of inflammatory diseases and rheumatoid disorders, mild to moderate pain, fever, dysmenorrhea, and osteoarthritis","Reversibly inhibits cyclooxygenase-1 and 2 (COX-1 and 2) enzymes, which results in decreased formation of prostaglandin precursors; has antipyretic, analgesic, and anti-inflammatory properties

Other proposed mechanisms not fully elucidated (and possibly contributing to the anti-inflammatory effect to varying degrees), include inhibiting chemotaxis, altering lymphocyte activity, inhibiting neutrophil aggregation/activation, and decreasing proinflammatory cytokine levels.","Hematologic & oncologic: Decreased hemoglobin (7% to 23%)

Hepatic: Increased serum alanine aminotransferase (≤15%), increased serum aspartate aminotransferase (≤15%)","Canadian labeling: Additional contraindications (not in US labeling): Cerebrovascular bleeding or other bleeding disorders; active gastric/duodenal/peptic ulcer, active GI bleeding; inflammatory bowel disease; uncontrolled heart failure; moderate [IV formulation only] to severe renal impairment (creatinine clearance [CrCl] <30 mL/minute); deteriorating renal disease; moderate [IV formulation only] to severe hepatic impairment; active hepatic disease; hyperkalemia; third trimester of pregnancy; breast-feeding; patients <18 years of age [IV formulation only]; patients <12 years of age [oral formulation only]; systemic lupus erythematosus [oral formulation only]; children suffering from dehydration as a result of acute diarrhea, vomiting, or lack of fluid intake",Assess patient for allergic reaction to salicylates or other NSAIDs. Monitor blood pressure prior to treatment and periodically throughout. Monitor for adverse gastrointestinal response prior to treatment and periodically throughout.,
insulin,,"Initial TDD: ~0.4 to 0.5 units/kg/day in divided doses; conservative initial doses of 0.2 to 0.4 units/kg/day may be considered to avoid the potential for hypoglycemia; higher initial doses may be required in patients who are obese, sedentary, or presenting with ketoacidosis (AACE/ACE [Handelsman 2015]; ADA 2020).

Usual TDD maintenance range: 0.4 to 1 units/kg/day in divided doses (ADA 2020).",,"Insulin, Short-Acting","Diabetes mellitus, types 1 and 2, treatment: Treatment of type 1 diabetes mellitus and type 2 diabetes mellitus to improve glycemic control.","Insulin acts via specific membrane-bound receptors on target tissues to regulate metabolism of carbohydrate, protein, and fats. Target organs for insulin include the liver, skeletal muscle, and adipose tissue.

Within the liver, insulin stimulates hepatic glycogen synthesis. Insulin promotes hepatic synthesis of fatty acids, which are released into the circulation as lipoproteins. Skeletal muscle effects of insulin include increased protein synthesis and increased glycogen synthesis. Insulin stimulates lipoprotein lipase synthesis and activity; this results in hydrolysis of triglycerides into free fatty acids and storage of free fatty acids in adipocytes, thereby reducing circulating triglyceride levels (Rawla 2018; Sadur 1982; Song 2019). In addition, insulin stimulates the cellular uptake of amino acids and increases cellular permeability to several ions, including potassium, magnesium, and phosphate. By activating sodium-potassium ATPases, insulin promotes the intracellular movement of potassium.

Normally secreted by the pancreas, insulin products are manufactured for pharmacologic use through recombinant DNA technology using either E. coli or Saccharomyces cerevisiae. Regular insulin has an identical structure to that of native human insulin. Insulins are categorized based on the onset, peak, and duration of effect (eg, rapid-, short-, intermediate-, and long-acting insulin). Insulin regular is a short-acting insulin analog.","Cardiovascular: Peripheral edema

Dermatologic: Injection site pruritus

Endocrine & metabolic: Amyloidosis (localized at injection site), hypoglycemia, hypokalemia, weight gain

Hypersensitivity: Anaphylaxis, hypersensitivity reaction

Immunologic: Immunogenicity

Local: Erythema at injection site, hypertrophy at injection site, lipoatrophy at injection site, swelling at injection site","Hypersensitivity to regular insulin or any component of the formulation; during episodes of hypoglycemia.

Documentation of allergenic cross-reactivity for insulin is limited. However, because of similarities in chemical structure and/or pharmacologic actions, the possibility of cross-sensitivity cannot be ruled out with certainty.","Check ordered labs and report abnormalities. Monitor for hypoglycemia at regular intervals during therapy. Teach patient proper use, including appropriate injection technique and syringe/needle disposal, and monitoring requirements. Educate and instruct patient to report signs of hypoglycemia (dizziness, headache, fatigue, weakness, shaking, fast heartbeat, confusion, hunger, or sweating) or hypokalemia (muscle pain or weakness, muscle cramps, or an abnormal heartbeat). May need referral to dietician and/or diabetes self-management education.

","Teach patient proper use, including appropriate injection technique and syringe/needle disposal, and monitoring requirements. Refer to dietician and/or diabetes self-management education."
iron sucrose,,"Iron-deficiency anemia in chronic kidney disease: IV:

Hemodialysis-dependent chronic kidney disease: 100 mg administered during consecutive dialysis sessions; the usual cumulative total dose is 1,000 mg (10 doses); may repeat treatment if clinically indicated.

Peritoneal dialysis-dependent chronic kidney disease: Two infusions of 300 mg administered 14 days apart, followed by a single 400 mg infusion 14 days later (total cumulative dose of 1,000 mg in 3 divided doses); may repeat treatment if clinically indicated.

Non-dialysis-dependent chronic kidney disease: 200 mg administered on 5 different occasions within a 14-day period (total cumulative dose: 1,000 mg in 14-day period); may repeat treatment if clinically indicated. Note: Dosage has also been administered as 2 infusions of 500 mg on day 1 and day 14 (limited experience).",,"Iron Preparations

",Iron-deficiency anemia: Treatment of iron-deficiency anemia in chronic kidney disease (CKD),Iron sucrose is dissociated by the reticuloendothelial system into iron and sucrose. The released iron increases serum iron concentrations and is incorporated into hemoglobin.,"Cardiovascular: Hypotension (2% to 3%; children: 2%; hemodialysis patients: 39%; may be related to total dose or rate of administration)

Central nervous system: Headache (3% to 13%; children: 6%)

Gastrointestinal: Nausea (5% to 15%; children: 3%)

Neuromuscular & skeletal: Muscle cramps (1% to 3%; hemodialysis patients: 29%)

Respiratory: Nasopharyngitis (2% to 16%), pharyngitis (2% to 16%), sinusitis (2% to 16%), upper respiratory tract infection (2% to 16%; children: 4%)",Canadian labeling: Additional contraindications (not in the US labeling): Iron overload; anemia not caused by iron deficiency,"Check ordered labs and report any abnormalities. Monitor for signs and symptoms of hypersensitivity and hypotension during infusion and for at least 30 minutes post-infusion. Facilities for cardiopulmonary resuscitation must be available during administration. Monitor vital signs, including blood pressure, closely during infusion. Assess venous access device for signs of extravasation during infusion.",
Ketorolac,,"Weight ≥50 kg and <65 years of age:

IV: 30 mg as a single dose or 15 to 30 mg every 6 hours as needed; maximum daily dose: 120 mg/day; maximum duration: 5 days combined (parenteral, oral, and nasal) (Mariano 2020; manufacturer’s labeling [US]).

IM: 30 to 60 mg as a single dose or 15 to 30 mg every 6 hours as needed; alternatively, may administer 10 to 30 mg every 4 to 6 hours as needed; maximum daily dose: 120 mg/day; maximum duration: 5 days combined (parenteral, oral, and nasal) (Mariano 2020; manufacturer’s labeling [US]; manufacturer’s labeling [Canada]).

Oral (only as continuation of IM or IV therapy, not for initial therapy): 20 mg once, followed by 10 mg every 4 to 6 hours as needed; maximum daily dose: 40 mg/day; maximum duration: 5 days combined (parenteral, oral, and nasal) (manufacturer's labeling [US]).","Weight <50 kg or ≥65 years of age:

IV: 15 mg as a single dose or 15 mg every 6 hours as needed; maximum daily dose: 60 mg/day; maximum duration: 5 days combined (parenteral, oral, and nasal) (manufacturer's labeling [US]).

IM: 30 mg as a single dose or 15 mg every 6 hours as needed; alternatively, may administer 10 mg every 4 to 6 hours as needed; maximum daily dose: 60 mg/day; maximum duration: 5 days combined (parenteral, oral, and nasal) (manufacturer's labeling [US]; manufacturer labeling [Canada]).

Oral (only as continuation of IM or IV therapy, not for initial therapy): 10 mg every 4 to 6 hours as needed; maximum daily dose: 40 mg/day; maximum duration: 5 days combined (parenteral, oral, and nasal) (manufacturer's labeling [US]).","Analgesic, Nonopioid; Nonsteroidal Anti-inflammatory Drug (NSAID), Oral; Nonsteroidal Anti-inflammatory Drug (NSAID), Parenteral","Pain management, acute: Short-term (≤5 days) management of acute pain.
","Reversibly inhibits cyclooxygenase-1 and 2 (COX-1 and 2) enzymes, which results in decreased formation of prostaglandin precursors; has antipyretic, analgesic, and anti-inflammatory properties

Other proposed mechanisms not fully elucidated (and possibly contributing to the anti-inflammatory effect to varying degrees), include inhibiting chemotaxis, altering lymphocyte activity, inhibiting neutrophil aggregation/activation, and decreasing proinflammatory cytokine levels.","Gastrointestinal: Abdominal pain, dyspepsia, nausea

Hepatic: Increased liver enzymes (≤15%)

Nervous system: Headache","Hypersensitivity to ketorolac, aspirin, other nonsteroidal anti-inflammatory drugs (NSAIDs), or any component of the formulation; active or history of peptic ulcer disease; recent or history of GI bleeding or perforation; history of asthma, urticaria, or allergic-type reactions after taking aspirin or other NSAIDs; advanced renal disease or patients at risk for renal failure due to volume depletion; prophylactic analgesic before any major surgery; suspected or confirmed cerebrovascular bleeding, hemorrhagic diathesis, incomplete hemostasis, or high risk of bleeding; concurrent use with aspirin, other NSAIDs, probenecid, or pentoxifylline; epidural or intrathecal administration (injection only); use in the setting of coronary artery bypass graft surgery; labor and delivery.

Canadian labeling: Additional contraindications (not in US labeling): Intraoperative use; coagulation disorders; active GI bleeding; postoperative patients with high-bleeding risk; severe uncontrolled heart failure; inflammatory bowel disease; severe hepatic impairment or active hepatic disease; moderate to severe renal impairment (serum creatinine >442 micromol/L and/or creatinine clearance <30 mL/minute) or deteriorating renal disease; known hyperkalemia; third trimester of pregnancy; breast-feeding; use in children and adolescents <18 years of age","Check ordered labs and report abnormalities. Monitor blood pressure at the beginning of therapy and periodically during use. Monitor for and educate patient to report signs and symptoms of bleeding, GI effects, hepatotoxicity, and ototoxicity. Monitor for and report skin rash during therapy. Monitor for signs of an allergic reaction. Discontinue medication if patient will be having heart surgery. Monitor pain and inflammation response.",
Lactulose Liquid,,"10-20g, max 40g daily",,"ammonium detoxicant, laxative, osmotic","constipation, portal systemic encephalopathy","Bacteria degrades lactulose -> lower pH -> inhibits diffusion of NH3 into blood by causing NH3 convert to NH4+.
Enhances diffusion of NH3 from blood into gut where conversion to NH4+ occurs
produces osmotic effect in colon -> distention -> peristalsis
reduce blood ammonia -> reduce degree of protal systemic encephalopathy
","dehydration, hypernatremia, hypokalemia
abdominal cramps, distension, diarrhea",low galactose diet,"**monitor for soft stools or resolution of CNS in PSE

monitor for CHF

adjust dose for severe diarrhea",
LevETIRAcetam,,"Focal (partial) onset seizures and generalized-onset seizures:


Oral: Immediate release (tablets, oral solution, tablets for oral suspension): Initial: 500 mg twice daily; increase every 2 weeks by 500 mg/dose based on response and tolerability to the maximum recommended dose of 1.5 g twice daily.

Extended release (FDA approved only for focal [partial] onset seizures): Initial: 1 g once daily; increase every 2 weeks by 1 g/day based on response and tolerability to a maximum of 3 g once daily.

Note: In patients with epilepsy, oral loading doses of 1.5 to 2 g (immediate release) have been well tolerated and may be useful for more rapidly achieving serum concentrations associated with seizure control (Betts 2000; Koubeissi 2008); however, the necessity of an oral loading dose has not been established.

IV: Initial: 500 mg twice daily; increase every 2 weeks by 500 mg/dose based on response and tolerability to a maximum of 1.5 g twice daily. Use >4 days has not been studied.

Note: Additional benefit of oral or IV doses >3 g/day has not been established; however, oral doses of 4 g/day have been studied in patients with refractory epilepsy but may be associated with a greater incidence of somnolence (Betts 2000; Striano 2005).",,"Anticonvulsant, Miscellaneous",Focal (partial) onset and generalized onset,"The precise mechanism by which levetiracetam exerts its antiepileptic effect is unknown. However, several studies have suggested the mechanism may involve one or more of the following central pharmacologic effects: inhibition of voltage-dependent N-type calcium channels; facilitation of GABA-ergic inhibitory transmission through displacement of negative modulators; reduction of delayed rectifier potassium current; and/or binding to synaptic proteins which modulate neurotransmitter release.","​CNS depression
​Hypersensitivity reactions (delayed)
​Psychiatric and behavioral abnormalities","Hypersensitivity (eg, anaphylaxis, angioedema) to levetiracetam or any component of the formulation.","Monitor therapeutic response (seizure activity, force, type, duration) at beginning of therapy and periodically throughout. Monitor for CNS depression (somnolence and fatigue), behavioral abnormalities (psychosis, hallucinations, psychotic depression), and other behavioral symptoms (agitation, anger, aggression, irritability, hostility, anxiety, apathy, emotional lability, depersonalization, and depression). Observe and teach seizure/safety precautions.",
Lorazepam tab SL,4mg IV / 2mg po,"0.5-2mg PO
1-4mg IV",,"anticonvulsant, benzodiazepine","anxiety, status epilepticus",binds benzodiazepine receptors on postsynaptic GABA neuron in CNS. enahnces the inhibitory effect of GABA on neuronal excitability results by increasing neuronal emmbrane permeability to Cl- -> hypoerpolarization.,"Anterograde amnesia
CNS depression
Neruodevelopmental efects in chidlren
Paradoxical reactions
Propylene glycol toxicity [paranteral route](AKI, hemolysis, hypotension, cardiac arythmias)
Withdrawl syndrome","myasthenia gravis
Parenteral: hypersensitivity to polyethylene glycol, propylene glycol or benzyl alcohol, sleep apnea","monitor for withdrawl or hyperactive
monitor vital signs
monitor lab values",
